,어류,장소
1,뱀장어,임진강
2,웅어,임진강
3,밴댕이,임진강
4,청멸,임진강
5,풀반지,임진강
6,잉어,임진강
7,붕어,임진강
8,떡붕어,임진강
9,납자루,임진강
10,묵납자루,임진강
11,줄납자루,임진강
12,납지리,임진강
13,참붕어,임진강
14,돌고기,임진강
15,가는돌고기,임진강
16,쉬리,임진강
17,새미,임진강
18,참중고기,임진강
19,중고기,임진강
20,몰개,임진강
21,누치,임진강
22,참마자,임진강
23,어름치,임진강
24,모래무지,임진강
25,버들매치,임진강
26,돌상어,임진강
27,되경모치,임진강
28,배가사리,임진강
29,두우쟁이,임진강
30,참갈겨니,임진강
31,피라미,임진강
32,끄리,임진강
33,강준치,임진강
34,살치,임진강
35,참종개,임진강
36,새코미꾸리,임진강
37,메기,임진강
38,미유기,임진강
39,동자개,임진강
40,눈동자개,임진강
41,대농갱이,임진강
42,밀자개,임진강
43,퉁가리,임진강
44,은어,임진강
45,숭어,임진강
46,가숭어,임진강
47,줄공치,임진강
48,꺽정이,임진강
49,점농어,임진강
50,쏘가리,임진강
51,꺽지,임진강
52,주둥치,임진강
53,강주걱양태,임진강
54,동사리,임진강
55,얼룩동사리,임진강
56,흰발망둑,임진강
57,풀망둑,임진강
58,오셀망둑,임진강
59,밀어,임진강
60,갈문망둑,임진강
61,민물두줄망둑,임진강
62,민물검정망둑,임진강
63,빨갱이,임진강
64,황복,임진강
66,뱀장어,금강
67,웅어,금강
68,밴댕이,금강
69,청멸,금강
70,풀반지,금강
71,잉어,금강
72,붕어,금강
73,떡붕어,금강
74,납자루,금강
75,묵납자루,금강
76,줄납자루,금강
77,납지리,금강
78,참붕어,금강
79,돌고기,금강
80,가는돌고기,금강
81,쉬리,금강
82,새미,금강
83,참중고기,금강
84,중고기,금강
85,몰개,금강
86,누치,금강
87,참마자,금강
88,어름치,금강
89,모래무지,금강
90,버들매치,금강
91,돌상어,금강
92,되경모치,금강
93,배가사리,금강
94,두우쟁이,금강
95,참갈겨니,금강
96,피라미,금강
97,끄리,금강
98,강준치,금강
99,살치,금강
100,참종개,금강
101,새코미꾸리,금강
102,메기,금강
103,미유기,금강
104,동자개,금강
105,눈동자개,금강
106,대농갱이,금강
107,밀자개,금강
108,퉁가리,금강
109,은어,금강
110,숭어,금강
111,가숭어,금강
112,줄공치,금강
113,꺽정이,금강
114,점농어,금강
115,쏘가리,금강
116,꺽지,금강
117,주둥치,금강
118,강주걱양태,금강
119,동사리,금강
120,얼룩동사리,금강
121,흰발망둑,금강
122,풀망둑,금강
123,오셀망둑,금강
124,밀어,금강
125,갈문망둑,금강
126,민물두줄망둑,금강
127,민물검정망둑,금강
128,빨갱이,금강
129,황복,금강
131,뱀장어,청평호
132,웅어,청평호
133,밴댕이,청평호
134,청멸,청평호
135,풀반지,청평호
136,잉어,청평호
137,붕어,청평호
138,떡붕어,청평호
139,납자루,청평호
140,묵납자루,청평호
141,줄납자루,청평호
142,납지리,청평호
143,참붕어,청평호
144,돌고기,청평호
145,가는돌고기,청평호
146,쉬리,청평호
147,새미,청평호
148,참중고기,청평호
149,중고기,청평호
