,매출 순위,평가,게임번호
0,Teenage Mutant Ninja Turtles: Shredder's Revenge,"Very Positive<br>92% of the 1,118 user reviews for this game are positive.",1361510
1,Monster Hunter Rise: Sunbreak,,1880360
2,MONSTER HUNTER RISE,"Very Positive<br>87% of the 20,884 user reviews for this game are positive.",1446780
3,Red Dead Redemption 2,"Very Positive<br>88% of the 246,025 user reviews for this game are positive.",1174180
4,Chivalry 2,"Very Positive<br>84% of the 3,004 user reviews for this game are positive.",1824220
5,TEKKEN 7,"Very Positive<br>81% of the 46,803 user reviews for this game are positive.",389730
6,ELDEN RING,"Very Positive<br>90% of the 380,145 user reviews for this game are positive.",1245620
7,Monster Hunter Rise: Sunbreak Deluxe Edition,,
8,Battlefield™ 2042,"Mostly Negative<br>27% of the 106,019 user reviews for this game are positive.",1517290
9,,"Very Positive<br>81% of the 46,803 user reviews for this game are positive.",389730
10,Starship Troopers: Terran Command,Very Positive<br>86% of the 385 user reviews for this game are positive.,1202130
11,Assassin's Creed Bundle,"Very Positive<br>85% of the 378,514 user reviews for games in this bundle are positive.",
12,Forza Horizon 5,"Very Positive<br>87% of the 70,193 user reviews for this game are positive.",1551360
13,Monster Hunter World: Iceborne,"Mixed<br>55% of the 14,582 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",1118010
14,Chivalry 2 Special Edition,"Very Positive<br>84% of the 3,078 user reviews for games in this bundle are positive.",
15,Football Manager 2022,"Very Positive<br>92% of the 9,749 user reviews for this game are positive.",1569040
16,Mount & Blade II: Bannerlord,"Very Positive<br>87% of the 148,226 user reviews for this game are positive.",261550
17,Assassin's Creed® Origins,"Very Positive<br>86% of the 70,784 user reviews for this game are positive.",582160
18,Assassin's Creed® Odyssey,"Very Positive<br>89% of the 108,145 user reviews for this game are positive.",812140
19,Monster Hunter: World,"Very Positive<br>87% of the 213,782 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",582010
20,MONSTER HUNTER RISE Deluxe Edition,"Very Positive<br>87% of the 20,942 user reviews for games in this bundle are positive.",
21,V Rising,"Very Positive<br>88% of the 31,661 user reviews for this game are positive.",1604030
22,Grand Theft Auto V: Premium Edition,"Very Positive<br>84% of the 1,230,435 user reviews for games in this bundle are positive.",
23,Jurassic World Evolution 2: Dominion Biosyn Expansion,Very Positive<br>81% of the 115 user reviews for this game are positive.,1966010
24,,"Very Positive<br>89% of the 108,145 user reviews for this game are positive.",812140
25,Monster Hunter World: Iceborne Master Edition,"Very Positive<br>84% of the 228,364 user reviews for games in this bundle are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",
26,Cult of the Lamb,,1313140
27,FIFA 22,"Very Positive<br>80% of the 64,328 user reviews for this game are positive.",1506830
28,,"Very Positive<br>80% of the 64,328 user reviews for this game are positive.",1506830
29,Skul: The Hero Slayer,"Very Positive<br>93% of the 29,722 user reviews for this game are positive.",1147560
30,Euro Truck Simulator 2 Map Booster,"Very Positive<br>92% of the 14,647 user reviews for games in this bundle are positive.",
31,Tom Clancy's Rainbow Six® Siege - Y7S2 Welcome Pack,Mixed<br>69% of the 62 user reviews for this game are positive.,1991100
32,Raft,"Very Positive<br>93% of the 148,315 user reviews for this game are positive.",648800
33,ARK: Ultimate Survivor Upgrade,"Very Positive<br>82% of the 440,757 user reviews for games in this bundle are positive.",
34,Frostpunk: Game of the Year Edition,"Very Positive<br>90% of the 68,049 user reviews for games in this bundle are positive.",
35,LEGO® Star Wars™: The Skywalker Saga,"Very Positive<br>93% of the 21,434 user reviews for this game are positive.",920210
36,Longvinter,"Mixed<br>68% of the 1,659 user reviews for this game are positive.",1635450
37,Assassin's Creed Black Flag - Gold Edition,"Very Positive<br>89% of the 46,229 user reviews for games in this bundle are positive.","242050,260473,260474,260950"
38,Neon White,Very Positive<br>100% of the 190 user reviews for this game are positive.,1533420
39,DNF Duel,,1216060
40,Rust,"Very Positive<br>87% of the 641,048 user reviews for this game are positive.",252490
41,20 Minutes Till Dawn,"Very Positive<br>93% of the 4,622 user reviews for this game are positive.",1966900
42,The Sims™ 4 Werewolves Game Pack,Mostly Positive<br>76% of the 17 user reviews for this game are positive.,1776780
43,Crusader Kings III Royal Edition,"Very Positive<br>90% of the 54,224 user reviews for games in this bundle are positive.","1158310,1296731,1303182,1303183,1303184"
44,Stardew Valley,"Overwhelmingly Positive<br>98% of the 395,558 user reviews for this game are positive.",413150
45,Monster Hunter Stories 2: Wings of Ruin,"Very Positive<br>80% of the 8,749 user reviews for this game are positive.",1277400
46,Substance 3D Painter 2022,Very Positive<br>94% of the 240 user reviews for this software are positive.,1775390
47,Frostpunk,"Very Positive<br>91% of the 65,338 user reviews for this game are positive.",323190
48,Mech Armada,Very Positive<br>89% of the 182 user reviews for this game are positive.,1389360
49,Project Zomboid,"Very Positive<br>92% of the 77,001 user reviews for this game are positive.",108600
